track_id,title,artist,artist_id,popularity,release_date,genre,sub_genre,mood_tags,context_tags,youtube_video_id,mood_tags_list,context_tags_list,popularity_norm,recency_score,artist_pref_score,base_score,track_image_url,youtube_thumbnail_url,thumbnail_url
53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,Taylor Swift,06HL4z0CvFAxyc27GXpf02,99.0,2025-10-03,Pop,Indie,"Melancholic,Sad,Dreamy","Relax,Drive,Night",rbmdfEQODOw,"['Melancholic', 'Sad', 'Dreamy']","['Relax', 'Drive', 'Night']",0.99,0.9956118143459916,0.8855747104409144,0.9548541022408179,,https://i.ytimg.com/vi/rbmdfEQODOw/hqdefault.jpg,https://i.ytimg.com/vi/rbmdfEQODOw/hqdefault.jpg
3yWuTOYDztXjZxdE2cIRUa,Opalite,Taylor Swift,06HL4z0CvFAxyc27GXpf02,94.0,2025-10-03,Pop,Indie,"Dreamy,Romantic,Melancholic","Relax,Drive,Focus",3PJC6uPIekc,"['Dreamy', 'Romantic', 'Melancholic']","['Relax', 'Drive', 'Focus']",0.94,0.9956118143459916,0.8855747104409144,0.9348541022408179,,https://i.ytimg.com/vi/3PJC6uPIekc/hqdefault.jpg,https://i.ytimg.com/vi/3PJC6uPIekc/hqdefault.jpg
1CPZ5BxNNd0n0nF4Orb9JS,Golden,HUNTR/X,2yNNYQBChuox9A5Ka93BIn,98.0,2025-06-20,Electronic,Indie,"Uplifting, Energetic, Dreamy, Chill","Drive, Workout, Relax, Commute",yebNIHKAC4A,"['Uplifting', 'Energetic', 'Dreamy', 'Chill']","['Drive', 'Workout', 'Relax', 'Commute']",0.98,0.9920675105485232,0.8305107812752864,0.930695651083481,,https://i.ytimg.com/vi/yebNIHKAC4A/hqdefault.jpg,https://i.ytimg.com/vi/yebNIHKAC4A/hqdefault.jpg
1cPSVObTevCRjBEFHdUIyx,Money or Life,Senzei,4qQgMu20UfwRFHFfyMIrTH,26.0,2025-10-17,Hip Hop,,"Energetic, Dark","Workout, Drive, Party",vt-Q3BrW04U,"['Energetic', 'Dark']","['Workout', 'Drive', 'Party']",0.26,0.996084388185654,0.0,0.3530210970464135,,https://i.ytimg.com/vi/vt-Q3BrW04U/hqdefault.jpg,https://i.ytimg.com/vi/vt-Q3BrW04U/hqdefault.jpg
42VUCXerQ5qTr4Qp6PhKo4,Tears,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,90.0,2025-08-29,Pop,R&B,"Sad, Melancholic, Romantic","Drive, Relax, Night",V9vuCByb6js,"['Sad', 'Melancholic', 'Romantic']","['Drive', 'Relax', 'Night']",0.9,0.9944303797468355,0.8097787736275269,0.8920301657063432,,https://i.ytimg.com/vi/V9vuCByb6js/hqdefault.jpg,https://i.ytimg.com/vi/V9vuCByb6js/hqdefault.jpg
5BZsQlgw21vDOAjoqkNgKb,DAISIES,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,90.0,2025-07-11,Pop,R&B,"Romantic, Uplifting, Chill","Drive, Relax, Commute",msGuqelopMA,"['Romantic', 'Uplifting', 'Chill']","['Drive', 'Relax', 'Commute']",0.9,0.9927763713080169,0.891261022966464,0.9201354508652667,,https://i.ytimg.com/vi/msGuqelopMA/hqdefault.jpg,https://i.ytimg.com/vi/msGuqelopMA/hqdefault.jpg
6io5Vf8Yah4Z5PjumvUDQk,DEALS,Http//:riri,0l3H5LLexJuWvHy85IuvxK,42.0,2025-12-05,R&B,Pop,"Energetic, Chill, Dark","Drive, Night, Party",38wucrX0jS4,"['Energetic', 'Chill', 'Dark']","['Drive', 'Night', 'Party']",0.42,0.9977383966244726,0.0,0.41743459915611814,,https://i.ytimg.com/vi/38wucrX0jS4/hqdefault.jpg,https://i.ytimg.com/vi/38wucrX0jS4/hqdefault.jpg
0F7e0zOA4V8IflisWIzsQM,One Of,Http//:riri,0l3H5LLexJuWvHy85IuvxK,36.0,2025-11-07,R&B,Lofi,"Chill, Dreamy, Calm","Relax, Study, Drive",VxKGbfqyugU,"['Chill', 'Dreamy', 'Calm']","['Relax', 'Study', 'Drive']",0.36,0.9967932489451476,0.0,0.3931983122362869,,https://i.ytimg.com/vi/VxKGbfqyugU/hqdefault.jpg,https://i.ytimg.com/vi/VxKGbfqyugU/hqdefault.jpg
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,90.0,2025-02-07,Pop,Acoustic,"Romantic, Uplifting, Calm","Relax, Drive, Commute",A8dH4cKGa6s,"['Romantic', 'Uplifting', 'Calm']","['Relax', 'Drive', 'Commute']",0.9,0.9875780590717299,0.7501095942340008,0.8694328727498328,,https://i.ytimg.com/vi/A8dH4cKGa6s/hqdefault.jpg,https://i.ytimg.com/vi/A8dH4cKGa6s/hqdefault.jpg
3TYZXQbq5aIcphFnDDrcD4,System,Senzei,4qQgMu20UfwRFHFfyMIrTH,25.0,2023-11-10,Electronic,Lofi,"Chill, Dark, Dreamy, Melancholic","Study, Relax, Drive, Focus, Night",igdFwLEoCZ8,"['Chill', 'Dark', 'Dreamy', 'Melancholic']","['Study', 'Relax', 'Drive', 'Focus', 'Night']",0.25,0.9722194092827005,0.0,0.3430548523206751,,https://i.ytimg.com/vi/igdFwLEoCZ8/hqdefault.jpg,https://i.ytimg.com/vi/igdFwLEoCZ8/hqdefault.jpg
2FEtwhGM1tGiyC6x1t5dQE,Area Code,Senzei,4qQgMu20UfwRFHFfyMIrTH,23.0,2024-05-17,Hip Hop,R&B,"Energetic, Chill","Party, Drive, Gaming",cWJxC-3Blik,"['Energetic', 'Chill']","['Party', 'Drive', 'Gaming']",0.23,0.9785991561181434,0.0,0.33664978902953585,,https://i.ytimg.com/vi/cWJxC-3Blik/hqdefault.jpg,https://i.ytimg.com/vi/cWJxC-3Blik/hqdefault.jpg
4JjJ1KNRrzqstSY0uDuys3,JUMP,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,89.0,2025-07-11,K-Pop,Pop,"Energetic, Uplifting","Workout, Party, Drive",RUKqwwyAiEU,"['Energetic', 'Uplifting']","['Workout', 'Party', 'Drive']",0.89,0.9927763713080169,0.7182218933839577,0.8555717555113894,,https://i.ytimg.com/vi/RUKqwwyAiEU/hqdefault.jpg,https://i.ytimg.com/vi/RUKqwwyAiEU/hqdefault.jpg
